OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69021,39007000602,39,007,000602,,,18,4.42999983,5800997.84375,20987.1789117877
69022,39007000603,39,007,000603,,,18,3.9000001,64310304.3085938,40658.2855698253
69031,39093077100,39,093,077100,,,,,66812431.5,38165.8989816358
69095,39055311800,39,055,311800,,,,,85462101.5117188,46888.7028352625
69098,39055311000,39,055,311000,,,,,112807975.535156,42485.832934664
69099,39055311300,39,055,311300,,,,,112455501.179688,43171.8881466385
69100,39055311400,39,055,311400,,,14,4.01999998,132032024.757813,46090.7746421622
69101,39055311600,39,055,311600,,,,,17798291,22809.4480124645
69102,39055311700,39,055,311700,,,,,33610233.5859375,23797.2850892835
69106,39007001201,39,007,001201,,,,,299202770.121094,87343.7134661718
69108,39007000701,39,007,000701,,,114,12.97999954,9256124.17578125,17539.9586700336
69109,39007000703,39,007,000703,,,78,10.77000046,8279204.83203125,13308.0190953432
69110,39007000702,39,007,000702,,,,,88594804.1015625,46159.3956980582
69141,39093090100,39,093,090100,,,,,49048964.9375,39518.1902760435
69142,39093010300,39,093,010300,,,,,8038018.921875,11580.7744050018
69170,39007001402,39,007,001402,,,,,276080095.507813,69336.3657169437
69171,39007001401,39,007,001401,,,,,226512921.265625,61664.6497215449
69172,39007001202,39,007,001202,,,,,315624356.578125,94735.5870014752
69173,39007001303,39,007,001303,,,,,300903773.457031,77660.0002202362
69175,39035174105,39,035,174105,,,,,4558869.21875,8841.25267219402
69176,39035170102,39,035,170102,,,,,5078944.42578125,10350.8063416875
69177,39035171103,39,035,171103,,,120,16,3395850.01953125,9810.1431221648
69178,39035171203,39,035,171203,,,71,16.03000069,3230761.41015625,8522.64675317347
69179,39035173107,39,035,173107,,,,,10962562.5976563,16873.6613474351
69180,39035108400,39,035,108400,,,,,996284.2890625,4846.69730049613
69181,39035111401,39,035,111401,,,29,8.94999981,1173932.890625,6503.49804356813
69193,39035196000,39,035,196000,,,,,2814169.76171875,8533.04128481901
69251,39007001304,39,007,001304,,,,,55213946.8242188,30743.9005922403
69252,39085202902,39,085,202902,,,,,4063660.4453125,8982.28768162319
69258,39035132301,39,035,132301,,,,,7827944.97265625,17315.7575568017
69259,39035133103,39,035,133103,,,27,2.80999994,5953849.41796875,10935.9002769061
69260,39035153104,39,035,153104,,,,,2821230.39453125,7648.53026947586
69261,39035134206,39,035,134206,,,,,4813515.57421875,12606.2334077706
69265,39035135105,39,035,135105,,,,,27397672.359375,22282.5763372304
69270,39035980500,39,035,980500,,,,,14095651.453125,20834.3792182029
69271,39035108201,39,035,108201,,,18,2.8499999,3874162.05078125,13794.1321839537
69272,39035101901,39,035,101901,,,25,6.78000021,900699.0546875,4543.17201998285
69273,39035121403,39,035,121403,,,86,17.72999954,1828952.796875,8348.05752761161
69274,39035134100,39,035,134100,,,,,3195577.22265625,8779.32774720537
69340,39035137102,39,035,137102,,,,,4836348.94140625,9984.37213826161
69341,39007000103,39,007,000103,,,34,5.13999987,6489549.20703125,14362.0846066631
69343,39035152702,39,035,152702,,,83,18.61000061,3600092.54296875,9401.68351462484
69344,39035134204,39,035,134204,,,,,4119049.203125,9446.61803830342
69345,39035102401,39,035,102401,,,58,12.52999973,923309,4917.52194582617
69346,39035120500,39,035,120500,,,67,17.71999931,1311524.65234375,6397.171525099
69347,39035114600,39,035,114600,,,29,12.13000011,2446877.828125,7434.82907445099
69348,39035116600,39,035,116600,,,71,13.72999954,1570065.8125,5785.46210634279
69349,39035119401,39,035,119401,,,48,6.98000002,1243310.68359375,4995.69663521582
69350,39035119900,39,035,119900,,,117,16.09000015,1019166.62890625,4905.7687174185
69351,39035120701,39,035,120701,,,37,9.56000042,1097238.70703125,4845.30258785863
69352,39035120802,39,035,120802,,,77,15.10000038,1135988.421875,4714.38034859772
69353,39035122300,39,035,122300,,,56,16.67000008,2744879.28515625,7148.51574023494
69354,39035123800,39,035,123800,,,,,2358835.91015625,7116.18781888843
69361,39035101501,39,035,101501,,,51,7.67000008,874169.234375,4693.34883511199
69362,39035196400,39,035,196400,,,61,8.43000031,2337488.80078125,7355.86655370567
69363,39035109701,39,035,109701,,,,,1365805.421875,5878.93920274231
69364,39035110901,39,035,110901,,,69,12.82999992,6094822.609375,13952.371926691
69365,39035107802,39,035,107802,,,,,3273663.21875,7806.26800239607
69366,39035196100,39,035,196100,,,27,5.42000008,17487141.3867188,24925.7362176191
69367,39093071300,39,093,071300,,,,,11554773.5976563,14819.2938346222
69368,39035108701,39,035,108701,,,25,1.69000006,2598390.390625,7727.80247855431
69369,39035118101,39,035,118101,,,49,14.85000038,1111913.8125,4466.87323799292
69370,39035118301,39,035,118301,,,79,12.97000027,1665238.91015625,6865.79188629552
69371,39093091200,39,093,091200,,,,,55651303.2421875,37921.8119769388
69372,39093093100,39,093,093100,,,,,207736124.074219,63870.587133216
69373,39093023500,39,093,023500,,,54,19.48999977,2439660.9921875,7798.9482806791
69374,39093023600,39,093,023600,,,91,20.21999931,2688425.984375,7578.74023909357
69377,39093024200,39,093,024200,,,153,13.86999989,4623739.5,8797.87530035338
69378,39093050100,39,093,050100,,,,,13972656.6132813,14608.7885260721
69379,39093071202,39,093,071202,,,,,6714974.25,14929.1097533641
69401,39035140500,39,035,140500,,,80,11.89999962,2277317.1640625,7512.809641196
69402,39035156102,39,035,156102,,,,,28192712.6796875,24835.4412939926
69403,39035160100,39,035,160100,,,,,2036363.6171875,7644.21637547546
69424,39085204304,39,085,204304,,,180,15.72000027,7436072.90625,16944.3624352474
69425,39055310600,39,055,310600,,,,,58697281.7070313,31270.1044395741
69429,39085204303,39,085,204303,,,23,4.40999985,4817602.484375,10462.7127060997
69430,39085206700,39,085,206700,,,,,89736487.765625,55366.3175399161
69431,39085201102,39,085,201102,,,,,31296005.3242188,27676.2380371606
69434,39035119501,39,035,119501,,,142,14.88000011,907426.1875,4946.14179488398
69436,39035123200,39,035,123200,,,12,4.03000021,2540518.5703125,7770.0264379174
69437,39035117300,39,035,117300,,,68,13.32999992,2497143.69140625,7272.74120625992
69438,39035117900,39,035,117900,,,158,24.01000023,2126534.1328125,8119.31964040875
69439,39035130103,39,035,130103,,,,,6392417.28125,11561.556690547
69440,39035130106,39,035,130106,,,,,4224769.68359375,10266.3590403235
69441,39035124201,39,035,124201,,,15,3.3599999,2821560.6171875,7803.6396997207
69442,39035138110,39,035,138110,,,,,3709166.8359375,10283.5318182455
69443,39035118900,39,035,118900,,,43,7.23999977,1543200.3203125,5213.57630818597
69444,39035151700,39,035,151700,,,28,10.03999996,881786.15625,4021.78589155965
69445,39035101102,39,035,101102,,,11,0.63,2367173.23046875,7317.16691176357
69446,39035101800,39,035,101800,,,84,12.09000015,1272619.59375,5113.77868447973
69447,39035102900,39,035,102900,,,66,13.84000015,917407.11328125,4299.96917131193
69448,39035103500,39,035,103500,,,,,1476093.69921875,7992.10685037984
69455,39035108301,39,035,108301,,,,,2446340.5703125,9958.08321961888
69456,39035114501,39,035,114501,,,21,9.05000019,5628706.1640625,11695.5252618195
69457,39035195600,39,035,195600,,,34,4.44000006,8045239.71484375,13090.774218209
69458,39035195800,39,035,195800,,,,,25009293.9726563,21188.6629529433
69459,39035101603,39,035,101603,,,71,12.10000038,1172450.21875,6233.02531334117
69460,39093023900,39,093,023900,,,41,18.71999931,5250132.97265625,10517.1563395065
69461,39093024100,39,093,024100,,,50,11.63000011,9810285.21875,14156.969008723
69463,39093080103,39,093,080103,,,,,5455325.3203125,10794.7169898923
69464,39093021100,39,093,021100,,,,,5108307.34375,11133.4686188093
69481,39035124500,39,035,124500,,,23,5,6356361.5859375,11848.4490776421
69505,39035182104,39,035,182104,,,,,5167566.41015625,10774.909986906
69506,39035182106,39,035,182106,,,,,7013405.36328125,10580.148826507
69510,39035112200,39,035,112200,,,15,6.88000011,891725.55859375,5785.22927135188
69511,39035181201,39,035,181201,,,11,1.57000005,6875683.5,11582.8679358201
69512,39035181204,39,035,181204,,,,,4713061.9296875,13551.0632166111
69514,39035175109,39,035,175109,,,,,6389660.4296875,10223.0921997467
69517,39035132200,39,035,132200,,,24,7.23000002,6634271.97265625,13115.9722269365
69518,39035103300,39,035,103300,,,,,1016159.69140625,4176.79392908873
69519,39035112301,39,035,112301,,,15,3.94000006,1198790.2890625,5059.35049288294
69520,39035107000,39,035,107000,,,,,5113873.72265625,15953.5110461125
69565,39035115900,39,035,115900,,,87,12.86999989,2283587.44921875,6937.97836085406
69566,39035185104,39,035,185104,,,,,6037228.06640625,11569.8233273087
69577,39035183100,39,035,183100,,,,,3503455.10546875,10110.5748307256
69578,39035183200,39,035,183200,,,,,5154556.02734375,10219.4726230391
69581,39103408202,39,103,408202,,,33,6.69000006,10346907.9921875,13962.0980155637
