OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69175,39035174105,39,035,174105,,,,,4558869.21875,8841.25267219402
69176,39035170102,39,035,170102,,,,,5078944.42578125,10350.8063416875
69177,39035171103,39,035,171103,,,120,16,3395850.01953125,9810.1431221648
69178,39035171203,39,035,171203,,,71,16.03000069,3230761.41015625,8522.64675317347
69179,39035173107,39,035,173107,,,,,10962562.5976563,16873.6613474351
69180,39035108400,39,035,108400,,,,,996284.2890625,4846.69730049613
69181,39035111401,39,035,111401,,,29,8.94999981,1173932.890625,6503.49804356813
69193,39035196000,39,035,196000,,,,,2814169.76171875,8533.04128481901
69258,39035132301,39,035,132301,,,,,7827944.97265625,17315.7575568017
69259,39035133103,39,035,133103,,,27,2.80999994,5953849.41796875,10935.9002769061
69260,39035153104,39,035,153104,,,,,2821230.39453125,7648.53026947586
69261,39035134206,39,035,134206,,,,,4813515.57421875,12606.2334077706
69265,39035135105,39,035,135105,,,,,27397672.359375,22282.5763372304
69270,39035980500,39,035,980500,,,,,14095651.453125,20834.3792182029
69271,39035108201,39,035,108201,,,18,2.8499999,3874162.05078125,13794.1321839537
69272,39035101901,39,035,101901,,,25,6.78000021,900699.0546875,4543.17201998285
69273,39035121403,39,035,121403,,,86,17.72999954,1828952.796875,8348.05752761161
69274,39035134100,39,035,134100,,,,,3195577.22265625,8779.32774720537
69340,39035137102,39,035,137102,,,,,4836348.94140625,9984.37213826161
69343,39035152702,39,035,152702,,,83,18.61000061,3600092.54296875,9401.68351462484
69344,39035134204,39,035,134204,,,,,4119049.203125,9446.61803830342
69345,39035102401,39,035,102401,,,58,12.52999973,923309,4917.52194582617
69346,39035120500,39,035,120500,,,67,17.71999931,1311524.65234375,6397.171525099
69347,39035114600,39,035,114600,,,29,12.13000011,2446877.828125,7434.82907445099
69348,39035116600,39,035,116600,,,71,13.72999954,1570065.8125,5785.46210634279
69349,39035119401,39,035,119401,,,48,6.98000002,1243310.68359375,4995.69663521582
69350,39035119900,39,035,119900,,,117,16.09000015,1019166.62890625,4905.7687174185
69351,39035120701,39,035,120701,,,37,9.56000042,1097238.70703125,4845.30258785863
69352,39035120802,39,035,120802,,,77,15.10000038,1135988.421875,4714.38034859772
69353,39035122300,39,035,122300,,,56,16.67000008,2744879.28515625,7148.51574023494
69354,39035123800,39,035,123800,,,,,2358835.91015625,7116.18781888843
69361,39035101501,39,035,101501,,,51,7.67000008,874169.234375,4693.34883511199
69362,39035196400,39,035,196400,,,61,8.43000031,2337488.80078125,7355.86655370567
69363,39035109701,39,035,109701,,,,,1365805.421875,5878.93920274231
69364,39035110901,39,035,110901,,,69,12.82999992,6094822.609375,13952.371926691
69365,39035107802,39,035,107802,,,,,3273663.21875,7806.26800239607
69366,39035196100,39,035,196100,,,27,5.42000008,17487141.3867188,24925.7362176191
69368,39035108701,39,035,108701,,,25,1.69000006,2598390.390625,7727.80247855431
69369,39035118101,39,035,118101,,,49,14.85000038,1111913.8125,4466.87323799292
69370,39035118301,39,035,118301,,,79,12.97000027,1665238.91015625,6865.79188629552
69401,39035140500,39,035,140500,,,80,11.89999962,2277317.1640625,7512.809641196
69402,39035156102,39,035,156102,,,,,28192712.6796875,24835.4412939926
69403,39035160100,39,035,160100,,,,,2036363.6171875,7644.21637547546
69434,39035119501,39,035,119501,,,142,14.88000011,907426.1875,4946.14179488398
69436,39035123200,39,035,123200,,,12,4.03000021,2540518.5703125,7770.0264379174
69437,39035117300,39,035,117300,,,68,13.32999992,2497143.69140625,7272.74120625992
69438,39035117900,39,035,117900,,,158,24.01000023,2126534.1328125,8119.31964040875
69439,39035130103,39,035,130103,,,,,6392417.28125,11561.556690547
69440,39035130106,39,035,130106,,,,,4224769.68359375,10266.3590403235
69441,39035124201,39,035,124201,,,15,3.3599999,2821560.6171875,7803.6396997207
69442,39035138110,39,035,138110,,,,,3709166.8359375,10283.5318182455
69443,39035118900,39,035,118900,,,43,7.23999977,1543200.3203125,5213.57630818597
69444,39035151700,39,035,151700,,,28,10.03999996,881786.15625,4021.78589155965
69445,39035101102,39,035,101102,,,11,0.63,2367173.23046875,7317.16691176357
69446,39035101800,39,035,101800,,,84,12.09000015,1272619.59375,5113.77868447973
69447,39035102900,39,035,102900,,,66,13.84000015,917407.11328125,4299.96917131193
69448,39035103500,39,035,103500,,,,,1476093.69921875,7992.10685037984
69455,39035108301,39,035,108301,,,,,2446340.5703125,9958.08321961888
69456,39035114501,39,035,114501,,,21,9.05000019,5628706.1640625,11695.5252618195
69457,39035195600,39,035,195600,,,34,4.44000006,8045239.71484375,13090.774218209
69458,39035195800,39,035,195800,,,,,25009293.9726563,21188.6629529433
69459,39035101603,39,035,101603,,,71,12.10000038,1172450.21875,6233.02531334117
69481,39035124500,39,035,124500,,,23,5,6356361.5859375,11848.4490776421
69505,39035182104,39,035,182104,,,,,5167566.41015625,10774.909986906
69506,39035182106,39,035,182106,,,,,7013405.36328125,10580.148826507
69510,39035112200,39,035,112200,,,15,6.88000011,891725.55859375,5785.22927135188
69511,39035181201,39,035,181201,,,11,1.57000005,6875683.5,11582.8679358201
69512,39035181204,39,035,181204,,,,,4713061.9296875,13551.0632166111
69514,39035175109,39,035,175109,,,,,6389660.4296875,10223.0921997467
69517,39035132200,39,035,132200,,,24,7.23000002,6634271.97265625,13115.9722269365
69518,39035103300,39,035,103300,,,,,1016159.69140625,4176.79392908873
69519,39035112301,39,035,112301,,,15,3.94000006,1198790.2890625,5059.35049288294
69520,39035107000,39,035,107000,,,,,5113873.72265625,15953.5110461125
69565,39035115900,39,035,115900,,,87,12.86999989,2283587.44921875,6937.97836085406
69566,39035185104,39,035,185104,,,,,6037228.06640625,11569.8233273087
69577,39035183100,39,035,183100,,,,,3503455.10546875,10110.5748307256
69578,39035183200,39,035,183200,,,,,5154556.02734375,10219.4726230391
69583,39035115400,39,035,115400,,,95,14.97999954,1254506.19140625,5740.60352681434
69584,39035115700,39,035,115700,,,70,18.46999931,1575861.5625,5496.76398306961
69585,39035183402,39,035,183402,,,26,7.78000021,1178664.88671875,7996.91362979688
69586,39035182103,39,035,182103,,,,,4240368.296875,10685.3335384432
69587,39035183300,39,035,183300,,,,,6863115.15625,11252.076869486
69588,39035189105,39,035,189105,,,,,11912421.3554688,15360.2066571613
69593,39035189107,39,035,189107,,,,,10291144.5,14931.3848886265
69606,39035123501,39,035,123501,,,38,5.23999977,3609332.24609375,8645.70363497056
69607,39035123601,39,035,123601,,,,,2273860.9375,7310.77048517024
69669,39035183501,39,035,183501,,,,,2677076.55078125,7993.45083109662
69670,39035183502,39,035,183502,,,22,3.6500001,2898605.6875,7529.69974875263
69671,39035183603,39,035,183603,,,35,13.67000008,915423.546875,3850.95946671602
69672,39035184103,39,035,184103,,,,,10768085.59375,13380.4770143446
69744,39035115800,39,035,115800,,,90,13.76000023,2667522.140625,8420.1300629328
69745,39035116300,39,035,116300,,,35,10.39000034,972088.63671875,4006.38790622856
69746,39035116400,39,035,116400,,,98,17.06999969,1500528.6328125,5145.04908877705
69747,39035184108,39,035,184108,,,,,32547443.359375,23614.8391790658
69748,39035185101,39,035,185101,,,44,13.32999992,3013100.00390625,8017.94102126082
69749,39035185102,39,035,185102,,,21,6.76999998,1848237.11328125,5606.36390750819
69750,39035185103,39,035,185103,,,28,8.92000008,1722910.98828125,5823.88402987878
69751,39035185201,39,035,185201,,,29,9.69999981,1274228.43359375,4720.95295571444
69807,39035101400,39,035,101400,,,54,9.85000038,2279250.0234375,6703.94551924553
69808,39035101700,39,035,101700,,,70,8.68000031,1255945.25,5623.32143837138
69809,39035102101,39,035,102101,,,62,7.09000015,1217757.734375,4525.73983858137
69831,39035184104,39,035,184104,,,,,29127719.78125,27099.3293814775
69832,39035184105,39,035,184105,,,,,5811755.92578125,11224.93091006
69833,39035184106,39,035,184106,,,,,2732220.921875,7141.01594576118
69834,39035185202,39,035,185202,,,62,8.17000008,3158223.421875,8005.59679756291
69838,39035117800,39,035,117800,,,119,25,4073916.6953125,10505.1338184239
69839,39035118200,39,035,118200,,,43,14.97999954,1128659.671875,4387.71282520564
69840,39035186201,39,035,186201,,,,,10013468.2578125,12639.6038950853
69841,39035186103,39,035,186103,,,,,12233385.5546875,15753.1632497085
69879,39035136105,39,035,136105,,,,,10844230.2773438,13724.4195106903
69880,39035117203,39,035,117203,,,54,10.51000023,975329.91015625,4522.75848301274
69889,39035123602,39,035,123602,,,,,4085249.63671875,11231.3769595443
