OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69095,39055311800,39,055,311800,,,,,85462101.5117188,46888.7028352625
69098,39055311000,39,055,311000,,,,,112807975.535156,42485.832934664
69099,39055311300,39,055,311300,,,,,112455501.179688,43171.8881466385
69100,39055311400,39,055,311400,,,14,4.01999998,132032024.757813,46090.7746421622
69101,39055311600,39,055,311600,,,,,17798291,22809.4480124645
69102,39055311700,39,055,311700,,,,,33610233.5859375,23797.2850892835
69425,39055310600,39,055,310600,,,,,58697281.7070313,31270.1044395741
70916,39055310100,39,055,310100,,,,,119252792.261719,43725.2285092808
70917,39055311500,39,055,311500,,,,,93796604.2851563,41523.8611747196
71004,39055310800,39,055,310800,,,,,119519438.890625,45115.0123445069
71005,39055310700,39,055,310700,,,,,50091214.1992188,31651.0583508806
71101,39055312203,39,055,312203,,,,,104224384.132813,43947.7248679401
71102,39055310200,39,055,310200,,,,,114249962.339844,42781.8356884724
75298,39055311900,39,055,311900,,,,,137786286.324219,46995.0880545067
76693,39055312000,39,055,312000,,,,,118533922.25,43732.9432924127
76694,39055312100,39,055,312100,,,,,124337251.519531,44578.5433443996
76695,39055312201,39,055,312201,,,53,5.84000015,23641085.296875,31857.7149524479
76696,39055312202,39,055,312202,,,,,103504359.472656,49248.0934716976
76697,39055312300,39,055,312300,,,33,4.82000017,58277436.1757813,33138.4780051955
76698,39055312400,39,055,312400,,,,,61888428.1328125,34413.5294352773
76763,39055310900,39,055,310900,,,,,104782384.472656,40921.4970745268
