OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69252,39085202902,39,085,202902,,,,,4063660.4453125,8982.28768162319
69424,39085204304,39,085,204304,,,180,15.72000027,7436072.90625,16944.3624352474
69429,39085204303,39,085,204303,,,23,4.40999985,4817602.484375,10462.7127060997
69430,39085206700,39,085,206700,,,,,89736487.765625,55366.3175399161
69431,39085201102,39,085,201102,,,,,31296005.3242188,27676.2380371606
69591,39085206200,39,085,206200,,,,,12561979.1132813,21385.463220228
69592,39085201400,39,085,201400,,,,,5964378.24609375,12226.1168801228
69594,39085200900,39,085,200900,,,,,4344570.73828125,11031.5416111327
69595,39085201000,39,085,201000,,,,,18451444.8867188,20311.7050145626
69596,39085201200,39,085,201200,,,,,6592291.640625,17073.9927386793
69597,39085201300,39,085,201300,,,48,4.84000015,6279477.5625,13282.0694752373
69598,39085201800,39,085,201800,,,,,3402406.17578125,8697.65217322086
69674,39085201600,39,085,201600,,,134,58.25999832,6723023.57421875,15046.2103586974
69675,39085201700,39,085,201700,,,139,9.18000031,8013961.23046875,13599.8781287076
69676,39085201900,39,085,201900,,,29,6.88999987,6381872.1328125,16574.4773196149
69785,39085206500,39,085,206500,,,,,31213663.6835938,41468.2936379127
69787,39085206300,39,085,206300,,,,,58845373.6835938,44349.8965016747
69874,39085206400,39,085,206400,,,,,69652486.3320313,49349.0842027998
69936,39085206600,39,085,206600,,,18,3.96000004,4717589.78125,15224.6002265765
70327,39085202901,39,085,202901,,,,,7117250.52734375,13185.8107980365
70328,39085201101,39,085,201101,,,,,499142.9921875,3583.58465666503
70642,39085204900,39,085,204900,,,13,5.75,24820772.9414063,31942.5079217411
70719,39085204500,39,085,204500,,,89,8.73999977,2663989.53125,7258.87059531192
70720,39085204800,39,085,204800,,,14,4.01999998,29098480.9453125,29959.4627036561
70722,39085200200,39,085,200200,,,14,4.55000019,1654999.94140625,5658.66605776463
70725,39085202700,39,085,202700,,,,,17874236.5390625,20744.0960322576
70792,39085203200,39,085,203200,,,19,2.71000004,9016391.28515625,13614.7115083139
70799,39085203000,39,085,203000,,,,,9230585.59375,17763.1216853573
70800,39085202800,39,085,202800,,,,,11397619.1132813,17585.2180557987
70801,39085205701,39,085,205701,,,,,31237508.1914063,24926.7095247916
70802,39085205800,39,085,205800,,,,,51909766.5351563,35698.799428342
70842,39085200700,39,085,200700,,,28,4.84000015,3393175.80859375,7784.81877126199
70866,39085202000,39,085,202000,,,26,4.01999998,10678243.0195313,18175.4243625501
70869,39085205002,39,085,205002,,,,,32690345.8007813,34135.8263850825
70870,39085990000,39,085,990000,,,,,435023.23828125,36787.2586849412
70871,39085202600,39,085,202600,,,11,3.54999995,13494428.9960938,20160.9742228692
70879,39085201500,39,085,201500,,,,,14284625.8125,24269.2908877184
71066,39085200600,39,085,200600,,,18,7.96000004,6366059.01953125,10330.9198956439
71067,39085200800,39,085,200800,,,21,7.71999979,7363967.51171875,15034.6920848014
71143,39085202100,39,085,202100,,,,,6494152.7890625,13257.1892727929
71148,39085202400,39,085,202400,,,,,3190792.10546875,10103.0195802739
71149,39085202500,39,085,202500,,,,,4222230.66796875,10202.321895268
71151,39085200100,39,085,200100,,,22,4.67999983,1614644.421875,10108.984198415
71152,39085200300,39,085,200300,,,,,2674702.421875,6712.29246556778
71153,39085200400,39,085,200400,,,17,3.75999999,3178838.57421875,10259.0631069378
71154,39085200500,39,085,200500,,,,,2602024.21875,7679.86883505213
71251,39085205100,39,085,205100,,,,,62373092.1523438,38593.0350946814
71256,39085204700,39,085,204700,,,14,2.75,7943898.07421875,14346.2861151888
71261,39085205702,39,085,205702,,,,,5805400.65625,10293.3663520112
71263,39085205200,39,085,205200,,,,,118605827.242188,49823.8434703868
71332,39085203400,39,085,203400,,,,,10963071.6367188,15888.0872030787
71340,39085205001,39,085,205001,,,,,12541003.4921875,15075.816957463
71343,39085206100,39,085,206100,,,18,6.73999977,23731193.8632813,25709.1101679838
71349,39085205300,39,085,205300,,,,,39759472.7421875,37897.5295553311
71411,39085205400,39,085,205400,,,,,10178004.421875,17889.3951914001
71554,39085203500,39,085,203500,,,,,15674254.6640625,21185.0716553696
71637,39085203700,39,085,203700,,,,,54120162.0234375,38617.6620776438
71638,39085204000,39,085,204000,,,32,5.11999989,5149182.90625,12439.2321085816
71639,39085204200,39,085,204200,,,32,4.67999983,10565609.9804688,18440.7906616079
71712,39085204400,39,085,204400,,,44,6.65999985,6696097.37890625,15242.3870140155
