OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69031,39093077100,39,093,077100,,,,,66812431.5,38165.8989816358
69141,39093090100,39,093,090100,,,,,49048964.9375,39518.1902760435
69142,39093010300,39,093,010300,,,,,8038018.921875,11580.7744050018
69367,39093071300,39,093,071300,,,,,11554773.5976563,14819.2938346222
69371,39093091200,39,093,091200,,,,,55651303.2421875,37921.8119769388
69372,39093093100,39,093,093100,,,,,207736124.074219,63870.587133216
69373,39093023500,39,093,023500,,,54,19.48999977,2439660.9921875,7798.9482806791
69374,39093023600,39,093,023600,,,91,20.21999931,2688425.984375,7578.74023909357
69377,39093024200,39,093,024200,,,153,13.86999989,4623739.5,8797.87530035338
69378,39093050100,39,093,050100,,,,,13972656.6132813,14608.7885260721
69379,39093071202,39,093,071202,,,,,6714974.25,14929.1097533641
69460,39093023900,39,093,023900,,,41,18.71999931,5250132.97265625,10517.1563395065
69461,39093024100,39,093,024100,,,50,11.63000011,9810285.21875,14156.969008723
69463,39093080103,39,093,080103,,,,,5455325.3203125,10794.7169898923
69464,39093021100,39,093,021100,,,,,5108307.34375,11133.4686188093
69708,39093021200,39,093,021200,,,11,1.67999995,6364453.796875,11789.6800103107
69709,39093071201,39,093,071201,,,77,7.94999981,2794262.8359375,7069.85744321689
69731,39093010400,39,093,010400,,,,,15287281.3203125,18556.3799198236
70057,39093030102,39,093,030102,,,15,7.28000021,53202231.5351563,35457.3235876148
70058,39093080701,39,093,080701,,,,,19681327.6875,18182.0725032548
70059,39093094102,39,093,094102,,,,,59846092.8554688,34013.3055252965
70060,39093097401,39,093,097401,,,,,12162677.9179688,15474.5826608939
70150,39093094101,39,093,094101,,,,,159195539.449219,51305.8350833289
70151,39093097201,39,093,097201,,,35,8.01000023,23899099.046875,24723.6612442421
70152,39093050302,39,093,050302,,,,,24439729.7226563,26912.667577444
70154,39093013201,39,093,013201,,,,,27062410.7929688,22024.5413797519
70179,39093070102,39,093,070102,,,21,2.43000007,6733036.234375,15251.1369983608
70181,39093071100,39,093,071100,,,27,6.76999998,3780635.87109375,9260.702449698
70182,39093080104,39,093,080104,,,,,6008237.0234375,10401.2921039485
70236,39093030101,39,093,030101,,,,,4707996.125,15306.4748693704
70237,39093013102,39,093,013102,,,,,18936322.7304688,20072.807002931
70238,39093050301,39,093,050301,,,,,13054581.8945313,20311.2661162832
70239,39093097202,39,093,097202,,,28,4.98999977,9506820.33203125,13868.6969296991
70240,39093013202,39,093,013202,,,143,17.14999962,20242016.9492188,18644.919154104
70266,39093071500,39,093,071500,,,,,31714015.625,29187.243534132
70269,39093080500,39,093,080500,,,,,35334648.015625,23832.390371398
70270,39093080600,39,093,080600,,,,,19690762.9257813,20559.1885512739
70271,39093091100,39,093,091100,,,,,59487954.3164063,32888.6180957389
70549,39093080101,39,093,080101,,,,,3466551.078125,8258.82546682473
70550,39093024000,39,093,024000,,,113,17.96999931,3361748.02734375,8961.75292448946
70551,39093070300,39,093,070300,,,58,6.96999979,18476663.265625,28309.8184395349
70643,39093092100,39,093,092100,,,,,123493144.71875,51927.966820756
70644,39093096100,39,093,096100,,,,,103230396.132813,41847.1969661322
70645,39093070902,39,093,070902,,,27,2.82999992,12201109.3710938,15029.1717832714
70646,39093070101,39,093,070101,,,,,8918039.80078125,19764.509885206
70647,39093070500,39,093,070500,,,77,13.18000031,3301161.4765625,10718.0634876966
70662,39093013101,39,093,013101,,,,,29936781.7070313,22841.0061202375
70663,39093097500,39,093,097500,,,185,14.89999962,11899787.3085938,16945.9655332431
70664,39093097402,39,093,097402,,,,,8114812.95703125,12118.6071349713
70988,39093090200,39,093,090200,,,,,69130642.4726563,45359.1960217839
71532,39093070600,39,093,070600,,,33,4.34000015,5515171.7578125,15185.9429574418
71537,39093010200,39,093,010200,,,,,7702260.26953125,11124.2511308112
71610,39093028100,39,093,028100,,,,,50031628.6640625,37138.0946215514
71696,39093097100,39,093,097100,,,,,274068251.4375,78725.9963094935
72399,39093097600,39,093,097600,,,61,5.17000008,3074426.0546875,9927.46884509253
72400,39093080702,39,093,080702,,,,,19030331.96875,17928.2395614247
72453,39093022601,39,093,022601,,,91,12.01000023,5152950.30078125,10817.7065477336
75313,39093022100,39,093,022100,,,16,7.84000015,1840682.046875,6973.42061714239
75315,39093070200,39,093,070200,,,18,5.42000008,14311248.1953125,21082.9878901683
75319,39093070400,39,093,070400,,,58,7.98999977,10705367.1992188,16148.2596224868
75320,39093070700,39,093,070700,,,80,19.95000076,4227797.90625,11415.6609053312
75389,39093022200,39,093,022200,,,82,13.71000004,2709392.51171875,8000.06501615664
75470,39093050200,39,093,050200,,,,,8629176.6015625,15970.3254396383
75541,39093022400,39,093,022400,,,136,12.96000004,3306465.046875,12569.1688313701
75542,39093070901,39,093,070901,,,66,13.03999996,13849030.9453125,17516.6056073587
75627,39093097300,39,093,097300,,,126,15.5,4314238.96875,11879.5241710578
75628,39093022500,39,093,022500,,,13,10.65999985,1950746.64453125,6238.62228156347
75629,39093071400,39,093,071400,,,72,9.81000042,4495633.19921875,13632.2871829198
75696,39093023100,39,093,023100,,,148,21.47999954,11945066.609375,19355.617863626
75774,39093095100,39,093,095100,,,,,129610074.898438,53061.2867828439
75839,39093023000,39,093,023000,,,230,22.95000076,10097895.1875,14169.1194438294
75840,39093023200,39,093,023200,,,134,24.90999985,2913210.4296875,7443.4192600339
75841,39093023300,39,093,023300,,,121,25.90999985,1956480.59375,6241.87862530209
75843,39093050400,39,093,050400,,,,,5610413.94140625,10021.5509791284
75897,39093023400,39,093,023400,,,35,11.51000023,2806049.71484375,7047.77729875992
75898,39093057100,39,093,057100,,,,,125619330.484375,55720.6275614493
75899,39093060100,39,093,060100,,,16,1.77999997,32698853.8632813,28451.310286381
75900,39093060200,39,093,060200,,,11,2.4000001,24533638.2773438,22009.3168607579
76899,39093022800,39,093,022800,,,112,11.02999973,3581754.28515625,7671.34540826623
