OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69581,39103408202,39,103,408202,,,33,6.69000006,10346907.9921875,13962.0980155637
69842,39103415802,39,103,415802,,,,,9243792.40625,13257.9531664723
69843,39103415801,39,103,415801,,,,,6545227.13671875,10610.7083239955
69938,39103408303,39,103,408303,,,,,3756726.86328125,8965.70741181649
69939,39103408304,39,103,408304,,,,,6572419.71484375,12264.1215193824
70022,39103408102,39,103,408102,,,21,9.28999996,17455327.453125,22160.2285910881
70023,39103408305,39,103,408305,,,,,6411510.078125,11111.3074944269
70109,39103417002,39,103,417002,,,,,24604564.4726563,21271.9684087278
70110,39103417001,39,103,417001,,,13,2.8599999,9672527.203125,17350.1881492197
70121,39103406000,39,103,406000,,,,,118871206.671875,44696.1503558319
70399,39103416100,39,103,416100,,,,,23780759.4804688,20190.7462609041
70400,39103412000,39,103,412000,,,,,116106901.949219,43141.8135907987
70488,39103405000,39,103,405000,,,,,106745088.074219,41432.3316549766
70489,39103407000,39,103,407000,,,,,76387287.109375,40968.8716622929
71144,39103415100,39,103,415100,,,,,11328622.3398438,15179.0801860517
71145,39103415200,39,103,415200,,,,,8287447.10546875,11852.8529445861
71147,39103416000,39,103,416000,,,29,3.5,10694294.109375,15979.0002911254
71172,39103408003,39,103,408003,,,17,2.9000001,10217184.7578125,16179.8886978154
71189,39103408001,39,103,408001,,,25,8.5,5257616.62890625,12320.6848800441
71190,39103408201,39,103,408201,,,15,2.92000008,32965505.3632813,28437.3945104672
71232,39103410000,39,103,410000,,,,,226788244.886719,64070.3468885966
71233,39103411001,39,103,411001,,,,,99604195.3203125,63057.9584826791
71234,39103411002,39,103,411002,,,,,20379700.0507813,19247.7344368401
71235,39103413000,39,103,413000,,,,,114448079.628906,42772.3232283677
71236,39103416200,39,103,416200,,,146,19.95000076,22683032.6914063,19251.2660120536
71237,39103416300,39,103,416300,,,,,3423274.33203125,8980.52823012462
71238,39103416400,39,103,416400,,,,,4921166.45703125,10722.0581321411
71239,39103417100,39,103,417100,,,72,7.78999996,24733897.9375,20062.6220914111
71434,39103408101,39,103,408101,,,78,6.5999999,4148276.15625,8390.76834813037
71616,39103417200,39,103,417200,,,16,2.52999997,25309838.3046875,20206.5360204541
71618,39103417300,39,103,417300,,,46,6.25,34027184.828125,23340.6493893116
71697,39103404000,39,103,404000,,,,,60772696.5507813,42827.6392771004
72093,39103408002,39,103,408002,,,,,13210170.203125,16323.239616267
72154,39103400100,39,103,400100,,,,,123063095.335938,44400.6946082181
72155,39103402000,39,103,402000,,,,,117869086.851563,43347.3573601675
72156,39103403001,39,103,403001,,,,,103601490.265625,40826.6386755586
72157,39103403002,39,103,403002,,,,,77477349.4804688,40607.4070693004
72268,39103408301,39,103,408301,,,,,13453651.453125,18587.3125707205
72269,39103409001,39,103,409001,,,,,120306462.6875,43937.8589001657
72270,39103409002,39,103,409002,,,,,93170483.9296875,43815.8618692907
72280,39103415300,39,103,415300,,,13,1.72000003,6556223.87890625,10638.6323783767
72454,39103415400,39,103,415400,,,65,28.88999939,7266323.453125,11039.3671321808
