OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34547,OHA19880550,SUNSET WEST APTS,455 MAIN ST,CONNEAUT,OH,44030,OH-88-0277,,,,,,,,,40,40,,,,,,,,,1988,1988,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,40,40,,2,,,1,39,Ashtabula,7,103,2,2001,Ashtabula,7,18350,Conneaut,18350,Conneaut city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,1206,S,,455 Main St,,Conneaut,OH,44030,2608,,44030,55,3,44030260855,S,,,,1,,,A,,90% Overall probable correctness,41.942278,-80.56284,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3918350,39007000103,390070001032,-8968214.3257,5152336.8862
34581,OHA19880615,VILLAS OF GENEVA,961 E MAIN ST,GENEVA,OH,44041,OH-88-0294,,,,,,,,,34,34,,,,,,,,,1988,1988,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,34,34,,2,,,1,39,Ashtabula,7,802,1,1007,Ashtabula,7,29624,Geneva,29610,Geneva city,C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,1884,Y,,961 E Main St Apt 5,,Geneva,OH,44041,1303,,44041,5,5,44041130305,H,5,Apt,,0,,,,,100% Overall probable correctness,41.810274,-80.931311,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3929610,39007000802,390070008021,-9009232.3298,5132601.6414
35401,OHA20030197,OHIO VILLAGE APTS,1911 LAMBROS LN,ASHTABULA,OH,44004,OH-03-0104,,,,,,,,105283,120,120,0,12,96,12,0,,,,2003,2004,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,120,120,,2,,"PREVIOUSLY LISTED AS OHA2003611, OHA2005111.",1,39,Ashtabula,7,602,4,4011,Ashtabula,7,70646,Saybrook,2638,Ashtabula city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,198,S,,1911 Lambros Ln,,Ashtabula,OH,44004,2758,,44004,99,8,44004275899,H,,,,1,,,A,,90% Overall probable correctness,41.882819,-80.81005,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3902638,39007000602,390070006024,-8995733.617,5143442.4286
35452,OHA20030225,SAYBROOK ELDERLY II,2605 N BEND RD,ASHTABULA,OH,44004,OH-01-0035,,,,,,,,309406,48,33,0,0,42,6,0,2,,,2003,2004,1,1,2,,,2,,1,600000,,,,,,,,,,4,1,0,1,1,0,0,,1,2,48,33,,1,,,1,39,Ashtabula,7,701,1,1003,Ashtabula,7,70646,Saybrook,99999,Remainder of Saybrook township,99,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,,S,,2605 N Bend Rd,,Ashtabula,OH,44004,8664,,44004,99,6,44004866499,H,,,,1,,,A,,90% Overall probable correctness,41.854743,-80.818643,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3999999,39007000701,390070007011,-8996690.1854,5139245.4235
35566,OHA20040015,ASHTABULA HOMES I,5700 NATHAN AVE,ASHTABULA,OH,44004,02-0070,,,,,,,,438530,40,38,0,0,0,0,40,2,,,2004,2005,1,1,2,,,2,,1,457000,,,,,,,,,,4,2,,,,,,,1,3,40,38,,1,,,1,39,Ashtabula,7,703,3,3005,Ashtabula,7,2652,Ashtabula,2638,Ashtabula city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,198,S,,5700 Nathan Ave,,Ashtabula,OH,44004,7300,,44004,99,0,44004730099,H,,,,1,,,A,,90% Overall probable correctness,41.856585,-80.797994,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3902638,39007000703,390070007033,-8994391.5492,5139520.7226
35567,OHA20040016,ASHTABULA HOMES II,5700 NATHAN AVE,ASHTABULA,OH,44004,03-0042,,,,,,,,633757,40,40,0,0,0,10,30,2,,,2004,2006,1,1,2,,,,,1,0,,,2,0,2,,,,,4,1,0,0,1,0,0,,1,3,40,40,,1,,"PREVIOUSLY LISTED AS OHA2004653, OHA2005014.",1,39,Ashtabula,7,703,3,3005,Ashtabula,7,2652,Ashtabula,2638,Ashtabula city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,198,S,,5700 Nathan Ave,,Ashtabula,OH,44004,7300,,44004,99,0,44004730099,H,,,,1,,,A,,90% Overall probable correctness,41.856585,-80.797994,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3902638,39007000703,390070007033,-8994391.5492,5139520.7226
35613,OHA20000125,WILLOWBROOK SENIOR HOMES,2605 N BEND RD,ASHTABULA,OH,44004,98-0070,,,,,,,,502456,80,64,0,0,80,0,0,2,,,2000,2000,2,1,2,,,2,,1,601000,,,,,,,,,,4,1,0,1,0,0,0,,1,2,80,64,,2,,,1,39,Ashtabula,7,701,1,1003,Ashtabula,7,70646,Saybrook,99999,Remainder of Saybrook township,99,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,,S,,2605 N Bend Rd,,Ashtabula,OH,44004,8664,,44004,99,6,44004866499,H,,,,1,,,A,,90% Overall probable correctness,41.854743,-80.818643,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3999999,39007000701,390070007011,-8996690.1854,5139245.4235
36106,OHA19930105,COURTYARD APTS,131 COMMERCE PL,GENEVA,OH,44041,OH-92-1009,,,,,,,,65910,47,47,,,,,,,,,1993,1992,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,1,1,47,47,,2,,,1,39,Ashtabula,7,802,5,5017,Ashtabula,7,29624,Geneva,29610,Geneva city,C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,1884,Y,,131 Commerce Pl Apt 5,,Geneva,OH,44041,1941,,44041,5,7,44041194105,H,5,Apt,,0,,,,,100% Overall probable correctness,41.796272,-80.943806,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3929610,39007000802,390070008025,-9010623.2668,5130510.6618
36621,OHA20150020,MAJORS CROSSING,2789 JEFFERSON STREET,ROCK CREEK,OH,44084,130052,,,,,,,,860097,40,40,0,10,22,8,0,9,,0,2015,2013,,2,2,1,,2,,2,0,2,0,2,0,,,0,2,0,,1,1,2,2,2,2,,1,3,40,40,,2,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,1,39,Ashtabula,7,1001,2,2042,Ashtabula,7,52066,Morgan,67846,Rock Creek village,C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,4506,S,,2789 Jefferson St,,Rock Creek,OH,44084,8600,,44084,99,8,44084860099,H,,,,1,,,A,,90% Overall probable correctness,41.66445,-80.849027,S,,R,R,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3967846,39007001001,390070010012,-9000072.5168,5110847.4567
36750,OHA20080107,HIGHLAND PLACE APTS,432 W MAIN RD,CONNEAUT,OH,44030,07-0115,,,,,,,,49999,120,120,0,49,61,10,0,2,,,2008,2009,1,,,,,,,1,550000,,,,,,,,,,1,1,1,0,0,0,0,,2,3,120,120,,2,,"PREVIOUSLY LISTED AS OHA2008782, OHA2009080.",1,39,Ashtabula,7,101,2,2049,Ashtabula,7,18350,Conneaut,18350,Conneaut city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,1206,S,,432 W Main Rd,,Conneaut,OH,44030,2985,,44030,99,7,44030298599,H,,,,1,,,A,,90% Overall probable correctness,41.929563,-80.607724,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3918350,39007000101,390070001012,-8973210.7897,5150434.1557
36760,OHA20100093,JEREMY PARK,61 N MAPLE ST,ORWELL,OH,44076,90-0148,,,,,,,,,36,36,14,20,2,0,0,,1,21,2010,2011,,,1,,,1,,2,0,,,,,,,,1,1354998,1,2,,,,,,,2,4,36,36,,2,,"PREVIOUSLY LISTED AS OHA2010812, OHA2009210.",1,39,Ashtabula,7,1400,5,5013,Ashtabula,7,58870,Orwell,58856,Orwell village,C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,4014,S,,61 N Maple St,,Orwell,OH,44076,9545,,44076,99,8,44076954599,H,,,,1,,,A,,90% Overall probable correctness,41.536718,-80.867988,S,,R,R,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3958856,39007001400,390070014005,-9002183.2456,5091832.7017
36912,OHA20070055,GREENWAY SENIOR,5700 NATHAN AVE,ASHTABULA,OH,44004,50014,,,,,,,,671565,51,51,0,0,51,0,0,2,1,20,2007,2008,1,1,2,,,2,,2,0,,,2,0,,,,,,4,1,0,1,0,0,0,,1,3,51,51,,1,,,1,39,Ashtabula,7,703,3,3005,Ashtabula,7,2652,Ashtabula,2638,Ashtabula city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,198,S,,5700 Nathan Ave,,Ashtabula,OH,44004,7300,,44004,99,0,44004730099,H,,,,1,,,A,,90% Overall probable correctness,41.856585,-80.797994,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3902638,39007000703,390070007033,-8994391.5492,5139520.7226
37075,OHA20060122,JEFFERSON COURTYARD,223 E JEFFERSON ST,JEFFERSON,OH,44047,50015,,,,,,,,59754,32,32,0,32,0,0,0,2,,,2006,2007,1,,,,,1,,1,550000,,,,,,,,,,,1,0,1,0,0,0,,2,3,32,32,,2,,AKA JEFFERSON ELDERLY HOUSING.,1,39,Ashtabula,7,1102,1,1059,Ashtabula,7,38514,Jefferson,38500,Jefferson village,C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",0,1,3914,2430,Y,,223 E Jefferson St Apt 2,,Jefferson,OH,44047,1148,,44047,2,5,44047114802,H,2,Apt,,0,,,,,100% Overall probable correctness,41.738168,-80.757788,S,,R,U,** Street-Level Rooftop **,11780,"Ashtabula, OH Micropolitan Statistical Area",99999,,39007,3938500,39007001102,390070011021,-8989915.8378,5121838.6153
