OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34342,OHA19880170,ETHEL-FOREST #1,12515 FOREST AVE,CLEVELAND,OH,44120,OH-88-0184,,,,,,,,,2,2,,,,,,,,,1988,1988,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,2,1,,1,39,Cuyahoga,35,119402,2,2005,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,N,,12515 Forest Ave,,Cleveland,OH,44120,2937,,44120,15,2,44120293715,S,,,,1,,,A,,90% Overall probable correctness,41.478172,-81.596071,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035119402,390351194022,-9083233.0745,5083129.836
34383,OHA19890200,DYNES VILLAGE PROJECT,4289 E 167TH ST,CLEVELAND,OH,44128,OH-88-0179,,,,,,,,,42,42,,,,,,,,,1989,1988,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,42,42,,2,,,1,39,Cuyahoga,35,122100,3,3014,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,4289 E 167th St,,Cleveland,OH,44128,3382,,44128,89,8,44128338289,S,,,,1,,,A,,90% Overall probable correctness,41.442032,-81.563145,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035122100,390351221003,-9079567.7689,5077761.5473
34393,OHA00000073,MAGNOLIA ON DETROIT APTS,8016 DETROIT AVE,CLEVELAND,OH,44102,OH1012-1063,,,,,,,,,126,,,,,,,,,,8888,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,126,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,2,39,Cuyahoga,35,101200,2,2010,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,8016 Detroit Ave,,Cleveland,OH,44102,2830,,44102,99,8,44102283099,H,,,,1,,,A,,90% Overall probable correctness,41.481613,-81.740272,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035101200,390351012002,-9099285.4563,5083641.1233
34396,OHA00000079,MORNING STAR TOWER,10600 ST CLAIR AVE,CLEVELAND,OH,44108,120050,,,,,,,,,196,,,,,,,,,,8888,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,196,,,,PREVIOUSLY LISTED AS OHA0000078.,2,39,Cuyahoga,35,116500,4,4000,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,10600 Saint Clair Ave,,Cleveland,OH,44108,1912,,44108,99,2,44108191299,H,,,,1,,,A,,90% Overall probable correctness,41.53974,-81.612937,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035116500,390351165004,-9085110.589,5092282.1358
34406,OHA19880390,NELSON WEST 47TH STREET,1818 W 47TH ST,CLEVELAND,OH,44102,OH-88-0238,,,,,,,,,1,1,,,,,,,,,1988,1988,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,,2,,,1,39,Cuyahoga,35,103500,1,1004,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,1818 W 47th St,,Cleveland,OH,44102,3412,,44102,18,0,44102341218,S,,,,1,,,A,,90% Overall probable correctness,41.483403,-81.719093,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035103500,390351035001,-9096927.8208,5083907.1044
34417,OHA19900085,EDGEHILL PROPERTIES - BROOKFIELD,1830 E 87TH ST,CLEVELAND,OH,44106,OH-90-0536,,,,,,,,,31,31,,,,,,,,,1990,1990,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,31,31,,2,1,,1,39,Cuyahoga,35,118900,1,1017,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,1830 E 87th St Apt 5,,Cleveland,OH,44106,4861,,44106,5,1,44106486105,H,5,Apt,,0,,,,,100% Overall probable correctness,41.507094,-81.626346,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035118900,390351189001,-9086603.272,5087428.1091
34419,OHA19900095,ESKIN RENTAL,6310 EDNA AVE,CLEVELAND,OH,44103,OH-89-0361,,,,,,,,,15,15,,,,,,,,,1990,1989,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,15,15,,2,1,,1,39,Cuyahoga,35,111500,2,2007,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,6310 Edna Ave,,Cleveland,OH,44103,1579,,44103,99,8,44103157999,H,,,,1,,,A,,90% Overall probable correctness,41.51996,-81.646319,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035111500,390351115002,-9088826.6562,5089340.8201
34428,OHA00000094,ST AGNES,10204 GRANGER RD,GARFIELD HEIGHTS,OH,44125,10033,,,,,,,,,29,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,,,,,1,39,Cuyahoga,35,154501,3,3003,Cuyahoga,35,29428,Garfield Heights,29428,Garfield Heights city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1866,S,,10204 Granger Rd,,Garfield Heights,OH,44125,3106,,44125,4,0,44125310604,S,,,,1,,,A,,90% Overall probable correctness,41.416882,-81.613731,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3929428,39035154501,390351545013,-9085198.9767,5074027.4934
34454,OHA00000101,TEMPLIN-BRADLEY CO LOFTS,5700 DETROIT AVE,CLEVELAND,OH,44102,OH1012-1077,,,,,,,,,30,,,,,,,,,,8888,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,2,39,Cuyahoga,35,103100,1,1019,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,5700 Detroit Ave,,Cleveland,OH,44102,3077,,44102,99,4,44102307799,H,,,,1,,,A,,90% Overall probable correctness,41.485437,-81.725677,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035103100,390351031001,-9097660.7484,5084209.3511
34478,OHA19900155,KENSINGTON PLACE APTS,30 SEVERANCE CIR,CLEVELAND HEIGHTS,OH,44118,OH-90-0549,,,,,,,,,201,41,,,,,,,,,1990,1990,2,2,1,,,2,,,,,,,,,,,,,,,,,,,,,1,1,201,41,,2,,,1,39,Cuyahoga,35,140800,4,4002,Cuyahoga,35,16014,Cleveland Heights,16014,Cleveland Heights city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1110,S,,30 Severance Cir,,Cleveland Heights,OH,44118,1531,,44118,99,4,44118153199,H,,,,1,,,A,,90% Overall probable correctness,41.515767,-81.554666,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916014,39035140800,390351408004,-9078623.8909,5088717.4302
