OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34398,OHA00000081,NEW KENSINGTON SQUARE APTS,525 ABBE RD S,ELYRIA,OH,44035,70184,,,,,,,,,170,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,,,,,2,39,Lorain,93,71201,3,3001,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,525 Abbe Rd S,,Elyria,OH,44035,6346,,44035,99,7,44035634699,H,,,,1,,,A,,90% Overall probable correctness,41.367045,-82.078124,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093071201,390930712013,-9136894.9689,5066632.3966
35290,OHA20040173,NATIVITY MANOR,420 W 15TH ST,LORAIN,OH,44052,20014,,,,,,,,,38,32,0,13,25,0,0,2,,,2004,2005,1,1,2,,,2,,1,251000,,,,,,,,,,4,1,0,1,0,0,0,,3,3,38,32,,1,,PREVIOUSLY LISTED AS OHA2005100.,1,39,Lorain,93,97300,1,1008,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,420 W 15th St,,Lorain,OH,44052,3569,,44052,99,4,44052356999,H,,,,1,,,A,,90% Overall probable correctness,41.455729,-82.172789,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093097300,390930973001,-9147433.0285,5079795.7678
35309,OHA20010180,SOUTHERN HEIGHTS MULTIFAMILY,1648 E 29TH ST,LORAIN,OH,44055,16,,,,,,,,464113,63,56,0,0,23,26,14,2,,,2001,2003,1,1,2,,,2,,1,501000,,,,,,,,,,4,1,0,0,1,0,0,,2,3,63,56,,1,,,1,39,Lorain,93,23100,1,1016,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,1648 E 29th St,,Lorain,OH,44055,1767,,44055,99,3,44055176799,H,,,,1,,,A,,90% Overall probable correctness,41.444172,-82.143354,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093023100,390930231001,-9144156.3393,5078079.3428
35338,OHA20010207,TIMBER LAKE,37830 CHESTER RD,AVON,OH,44011,99-0093,,,,,,,,,252,252,0,0,126,126,0,,,,2001,2003,2,2,1,,,,,,,,,,,,,,,,4,,,,,,,,1,1,252,252,,2,,PREVIOUSLY LISTED AS OHA2002185.,1,39,Lorain,93,13200,3,3021,Lorain,93,3352,Avon,3352,Avon city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,246,S,,37830 Chester Rd,,Avon,OH,44011,4049,,44011,30,0,44011404930,S,,,,1,,,A,,90% Overall probable correctness,41.467202,-82.04027,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3903352,39093013200,390930132003,-9132681.0809,5081500.0199
35428,OHA20030211,PEARL VILLAGE APTS,4221 PEARL AVE,LORAIN,OH,44055,30106,,,,,,,,87424,80,80,0,12,56,12,0,,,,2003,2004,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,80,80,,1,,"PREVIOUSLY LISTED AS OHA2003609, OHA2005116.",1,39,Lorain,93,23800,1,1011,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,4221 Pearl Ave,,Lorain,OH,44055,3313,,44055,21,9,44055331321,S,,,,1,,,A,,90% Overall probable correctness,41.431599,-82.136131,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093023800,390930238001,-9143352.2786,5076212.3704
35539,OHA20030286,WESTGATE GARDEN APTS,3005 LEAVITT RD,LORAIN,OH,44052,30110,,,,,,,,48414,72,72,0,12,60,0,0,,,,2003,2004,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,72,72,,1,,"PREVIOUSLY LISTED AS OHA2003605, OHA2005141.",1,39,Lorain,93,22800,4,4010,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,3005 Leavitt Rd,,Lorain,OH,44052,4161,,44052,99,5,44052416199,H,,,,1,,,A,,90% Overall probable correctness,41.444576,-82.202202,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093022800,390930228004,-9150707.2687,5078139.339
35764,OHA19930290,SOUTH LORAIN,1500 E 29TH ST,LORAIN,OH,44055,OH-91-0699,,,,,,,,63871,13,13,,,,,,,,,1993,1991,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,13,13,,2,,,1,39,Lorain,93,23100,1,1016,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,N,,1500 E 29th St,,Lorain,OH,44055,1610,,44055,0,4,44055161000,S,,,,1,,,A,,90% Overall probable correctness,41.444075,-82.149599,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093023100,390930231001,-9144851.5296,5078064.9378
35803,OHA19970130,LORAIN GREEN I,3501 PIN OAK DR,LORAIN,OH,44052,OH-95-0031,,,,,,,,283951,48,48,0,0,24,24,0,,,,1997,1995,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,48,48,,2,,,1,39,Lorain,93,28100,1,1017,Lorain,93,72060,Sheffield,72060,Sheffield village,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,4794,S,,3501 Pin Oak Dr,,Lorain,OH,44052,2670,,44054,1,9,44052267001,S,,,,1,,,A,,90% Overall probable correctness,41.477383,-82.13123,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3972060,39093028100,390930281001,-9142806.7018,5083012.6049
35804,OHA19970135,LORAIN HOMES,3504 DALLAS AVE,LORAIN,OH,44055,950042,,,,,,,,91909,8,8,0,0,0,0,8,2,,,1997,1998,1,1,2,,,2,,,,,,,,,,,,,4,2,,,,,,,1,2,8,8,,2,,,1,39,Lorain,93,23200,2,2017,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,3504 Dallas Ave,,Lorain,OH,44055,1538,,44055,4,1,44055153804,S,,,,1,,,A,,90% Overall probable correctness,41.438212,-82.15431,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093023200,390930232002,-9145375.9557,5077194.2937
35837,OHA19970200,PARK MEADOW V,208 PARK MEADOW LN,ELYRIA,OH,44035,OH-95-0022,,,,,,,,54545,16,16,0,0,4,12,0,,,,1997,1995,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,16,16,,2,,,1,39,Lorain,93,71201,1,1011,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,208 Park Meadow Ln,,Elyria,OH,44035,9300,,44035,99,4,44035930099,H,,,,1,,,A,,90% Overall probable correctness,41.353647,-82.079299,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093071201,390930712011,-9137025.7693,5064645.2916
