OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34684,OHA19910035,ARBOR WOODS I,354 ARBOR CT,MEDINA,OH,44256,OH-90-0517,,,,,,,,,35,35,,,,,,,,,1991,1990,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,35,35,,2,1,,1,39,Medina,103,408100,4,4019,Medina,103,48848,Medina City,48790,Medina city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,3150,S,,354 Arbor Ct,,Medina,OH,44256,1554,,44256,54,5,44256155454,S,,,,1,,,A,,90% Overall probable correctness,41.155054,-81.87096,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3948790,39103408100,391034081004,-9113833.578,5035239.0647
35660,OHA19980207,SPRING RIDGE APTS,5013 FENN RD,MEDINA,OH,44256,OH-96-0133,,,,,,,,396326,198,198,,,,,,,,,1998,1996,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,198,198,,2,,,2,39,Medina,103,404000,2,2010,Medina,103,48804,Medina,99999,Medina township,99,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,,N,,5013 Fenn Rd,,Medina,OH,44256,5604,,44256,13,0,44256560413,S,,,,1,,,A,,90% Overall probable correctness,41.1709,-81.866507,S,,R,R,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3999999,39103404000,391034040002,-9113337.8723,5037582.1492
35765,OHA19930295,SOUTHWICK APTS,4375 SOUTHWICK BLVD,BRUNSWICK,OH,44212,OH-91-0610,,,,,,,,,50,50,,,,,,,,,1993,1991,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,50,50,,2,,,1,39,Medina,103,416200,1,1000,Medina,103,9680,Brunswick,9680,Brunswick city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,720,S,,4375 Southwick Blvd,,Brunswick,OH,44212,4514,,44212,75,1,44212451475,S,,,,1,,,A,,90% Overall probable correctness,41.233719,-81.842743,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3909680,39103416200,391034162001,-9110692.4759,5046876.5248
35856,OHA19950315,TOWNE CENTER APTS,1266 PEARL RD,BRUNSWICK,OH,44212,944012,,,,,,,,397354,88,88,0,0,56,32,0,,,,1995,1994,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,88,88,,2,,,1,39,Medina,103,415400,3,3000,Medina,103,9680,Brunswick,9680,Brunswick city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,720,S,,1266 Pearl Rd,,Brunswick,OH,44212,2892,,44212,99,8,44212289299,H,,,,1,,,A,,90% Overall probable correctness,41.241371,-81.841504,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3909680,39103415400,391034154003,-9110554.551,5048009.2853
36049,OHA19930030,ARBOR WOODS II,344 QUAIL ROOST DR,MEDINA,OH,44256,OH-91-0601,,,,,,,,24266,35,35,,,,,,,,,1993,1991,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,35,35,,2,,,1,39,Medina,103,408100,4,4016,Medina,103,48848,Medina City,48790,Medina city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,3150,S,,344 Quail Roost Dr,,Medina,OH,44256,1560,,44256,44,9,44256156044,S,,,,1,,,A,,90% Overall probable correctness,41.15468,-81.869534,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3948790,39103408100,391034081004,-9113674.8364,5035183.7696
36193,OHA20190038,SOUTHWICK PLACE TOWNHOMES,4375 SOUTHWICK BOULEVARD,BRUNSWICK,OH,44212,180213,,,,,,,,255000,50,50,0,0,36,14,0,3,,,2019,2018,,1,,1,,2,,2,0,2,0,2,0,,,0,2,0,,2,2,2,2,2,2,,2,3,50,50,0,2,,,1,39,Medina,103,416200,1,1000,Medina,103,9680,Brunswick,9680,Brunswick city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,720,S,,4375 Southwick Blvd,,Brunswick,OH,44212,4514,,44212,75,1,44212451475,S,,,,1,,,A,,90% Overall probable correctness,41.233719,-81.842743,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3909680,39103416200,391034162001,-9110692.4759,5046876.5248
36527,OHA20180031,SOUTH COURT SENIOR VILLAS,171 HIGH POINT DR,MEDINA,OH,44256,160062,,,,,,,,750000,40,40,0,12,28,0,0,2,,,2018,2016,2,2,,1,,2,,2,0,2,0,2,0,,,0,2,0,,1,2,1,2,2,2,,1,3,40,40,0,2,,,1,39,Medina,103,408202,3,3010,Medina,103,48848,Medina City,48790,Medina city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,3150,S,,171 High Point Dr,,Medina,OH,44256,2844,,44256,99,3,44256284499,H,,,,1,,,A,,90% Overall probable correctness,41.112869,-81.869321,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3948790,39103408202,391034082023,-9113651.1253,5029004.0971
36633,OHA20190041,UNION SQUARE APARTMENTS,308 WEST UNION STREET,MEDINA,OH,44256,180231,,,,,,,,283810,0,84,0,0,0,0,0,3,,,2019,2018,,2,,1,,2,,2,0,2,0,2,0,,,0,2,0,,2,2,2,2,2,2,,2,3,84,84,0,2,,,1,39,Medina,103,408100,2,2003,Medina,103,48848,Medina City,48790,Medina city (part),C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,3150,Y,,308 W Union St Ste 1,,Medina,OH,44256,1851,,44256,1,3,44256185101,H,1,Ste,,0,,,,,100% Overall probable correctness,41.144087,-81.869376,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3948790,39103408100,391034081002,-9113657.2479,5033617.7499
36649,OHA20150026,SOUTHWICK MANOR,4326 SOUTHWICK BOULEVARD,BRUNSWICK,OH,44212,130085,,,,,,,,820000,54,54,0,31,23,0,0,9,,0,2015,2013,,2,2,1,,2,,2,0,2,0,2,0,,,0,2,0,,1,2,1,2,2,2,,1,3,54,54,0,2,,,1,39,Medina,103,416200,1,1000,Medina,103,9680,Brunswick,9680,Brunswick city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,720,S,,4326 Southwick Blvd,,Brunswick,OH,44212,3472,,44212,99,3,44212347299,H,,,,1,,,A,,90% Overall probable correctness,41.23406,-81.842046,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3909680,39103416200,391034162001,-9110614.8862,5046927.0018
36806,OHA20080180,PEMBROOK GREENE,733 BANK ST,LODI,OH,44254,06-0139,,,,,,,,7466,18,18,0,0,8,10,0,2,,,2008,2009,,,,,,1,,,,,,,,,,,,,4,1,1,0,0,0,0,,1,1,18,18,0,2,,,1,39,Medina,103,411002,3,3018,Medina,103,34104,Harrisville,99999,Harrisville township,99,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3907,,S,,733 Bank St,,Lodi,OH,44254,1074,,44254,99,1,44254107499,H,,,,1,,,A,,90% Overall probable correctness,41.0305,-82.024833,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39103,3999999,39103411002,391034110023,-9130962.642,5016841.4483
