OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,Shape__Area,Shape__Length
12721,39035133104,39,035,133104,Census Tract 1331.04,7003526.7890625,11018.802798918
12725,39035152501,39,035,152501,Census Tract 1525.01,2498374.58984375,6471.3227358603
12726,39035152701,39,035,152701,Census Tract 1527.01,1547555.80078125,6222.29556298055
12746,39035198400,39,035,198400,Census Tract 1984,4011153.4296875,9223.06932754737
12747,39035198900,39,035,198900,Census Tract 1989,1162084.21875,4958.14818940329
12748,39035101201,39,035,101201,Census Tract 1012.01,1217673.52734375,5233.90733561582
12749,39035101101,39,035,101101,Census Tract 1011.01,545643.18359375,3535.06772538065
12753,39035197700,39,035,197700,Census Tract 1977,2992240.73046875,7475.48538046243
12754,39035197600,39,035,197600,Census Tract 1976,1789816.67578125,6712.40310286111
12755,39035196800,39,035,196800,Census Tract 1968,3748285.0546875,9668.68129056644
12756,39035198000,39,035,198000,Census Tract 1980,3572513.828125,9119.67958709483
12761,39035180104,39,035,180104,Census Tract 1801.04,4454296.59765625,12062.0790692265
12762,39035140301,39,035,140301,Census Tract 1403.01,1291124.69921875,5139.988901877
12763,39035120702,39,035,120702,Census Tract 1207.02,1109070.0625,4787.75341293214
12764,39035188107,39,035,188107,Census Tract 1881.07,4647060.59765625,10919.6984319385
12765,39035116800,39,035,116800,Census Tract 1168,1560790.87890625,5594.52239576323
12766,39035106800,39,035,106800,Census Tract 1068,1067089.6171875,4180.65445717068
12776,39035197900,39,035,197900,Census Tract 1979,3496814.49609375,11508.4805623106
12777,39035197400,39,035,197400,Census Tract 1974,2611216.68359375,7422.83315025341
12784,39035119702,39,035,119702,Census Tract 1197.02,944229.89453125,3992.37674460984
12785,39035118800,39,035,118800,Census Tract 1188,2078049.4609375,7849.00146110798
12787,39035112100,39,035,112100,Census Tract 1121,1061311.234375,6073.14431737828
12788,39035123502,39,035,123502,Census Tract 1235.02,1342841.56640625,5580.14111908204
12789,39035102402,39,035,102402,Census Tract 1024.02,1246611.2109375,5387.57968309057
12830,39035160603,39,035,160603,Census Tract 1606.03,440572.5703125,4096.32030796407
12831,39035197300,39,035,197300,Census Tract 1973,1620073.99609375,6428.45839052329
12832,39035197500,39,035,197500,Census Tract 1975,2381739.73046875,7685.41796621922
