OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,Shape__Area,Shape__Length
12781,39093023000,39,093,023000,Census Tract 230,10097895.1875,14169.1194438294
12782,39093023200,39,093,023200,Census Tract 232,2913210.4296875,7443.4192600339
12783,39093023300,39,093,023300,Census Tract 233,1956480.59375,6241.87862530209
13082,39093022200,39,093,022200,Census Tract 222,2709392.51171875,8000.06501615664
13106,39093022400,39,093,022400,Census Tract 224,3306465.046875,12569.1688313701
13132,39093070901,39,093,070901,Census Tract 709.01,13849030.9453125,17516.6056073587
13133,39093097300,39,093,097300,Census Tract 973,4314238.96875,11879.5241710578
13134,39093071400,39,093,071400,Census Tract 714,4495633.19921875,13632.2871829198
13135,39093023100,39,093,023100,Census Tract 231,11945066.609375,19355.617863626
13216,39093023600,39,093,023600,Census Tract 236,2688425.984375,7578.74023909357
13272,39093024000,39,093,024000,Census Tract 240,3361748.02734375,8961.75292448946
13287,39093070500,39,093,070500,Census Tract 705,3301161.4765625,10718.0634876966
13288,39093022800,39,093,022800,Census Tract 228,3581754.28515625,7671.34540826623
13321,39093097600,39,093,097600,Census Tract 976,3074426.0546875,9927.46884509253
13375,39093097500,39,093,097500,Census Tract 975,11899787.3085938,16945.9655332431
13527,39093071201,39,093,071201,Census Tract 712.01,2794262.8359375,7069.85744321689
14423,39093022601,39,093,022601,Census Tract 226.01,5152950.30078125,10817.7065477336
